key;variant;max_chars;instruction;en;nl;af;sq;ar;as;eu;bn;my;bs;bg;ca;zh;et;gl;el;ja;km;ko;hr;lo;lv;mk;no;uk;ro;sr;si;sk;sl;sw;ta;th;bo;cs;zu;sv
home.nextCharacter %lld %@;plural.one;45;"VoiceOver label for the next-character prompt on the home screen. First argument is the bubbles still needed, second is the animal's name. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %1$lld, %2$@ exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 33 characters, Dutch 26. Aim for 45 or fewer.";%1$lld more bubble to unlock %2$@;Nog %1$lld bubbel tot %2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.nextCharacter %lld %@;plural.other;45;"VoiceOver label for the next-character prompt on the home screen. First argument is the bubbles still needed, second is the animal's name. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %1$lld, %2$@ exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 34 characters, Dutch 27. Aim for 45 or fewer.";%1$lld more bubbles to unlock %2$@;Nog %1$lld bubbels tot %2$@;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.animal.body %@;;70;"Push notification body when a new animal is nearly earned. The argument is the animal's name. PLACEHOLDERS: keep %@ exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 42 characters, Dutch 53. Aim for 70 or fewer.";Collect a few more bubbles to unlock %@! 🐼;Verzamel nog een paar bubbels om %@ vrij te spelen! 🐼;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.animal.title %lld;plural.one;40;"Push notification title when a new animal is nearly earned. The argument is the bubbles still needed. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 25 characters, Dutch 31. Aim for 40 or fewer.";Only %lld bubble to go! 🫧;Nog maar %lld bubbel te gaan! 🫧;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.animal.title %lld;plural.other;40;"Push notification title when a new animal is nearly earned. The argument is the bubbles still needed. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 26 characters, Dutch 32. Aim for 40 or fewer.";Only %lld bubbles to go! 🫧;Nog maar %lld bubbels te gaan! 🫧;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.comeback.body;;90;Push notification body after a long absence. Warm, never guilt-inducing. LENGTH: English 67 characters, Dutch 69. Aim for 90 or fewer.;Your animals are waiting. Jump back in and keep collecting bubbles!;Je dieren wachten op je. Spring weer verder en verzamel meer bubbels!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.reactivate.body %lld;plural.one;85;"Push notification body after a very long absence. The argument is the number of days since the last session. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 67 characters, Dutch 64. Aim for 85 or fewer.";It’s been %lld day. Let’s solve some sums and collect more bubbles!;Het is %lld dag geleden. Tijd voor wat sommen en nieuwe bubbels!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.reactivate.body %lld;plural.other;85;"Push notification body after a very long absence. The argument is the number of days since the last session. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 68 characters, Dutch 66. Aim for 85 or fewer.";It’s been %lld days. Let’s solve some sums and collect more bubbles!;Het is %lld dagen geleden. Tijd voor wat sommen en nieuwe bubbels!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.streak.body %lld;plural.one;50;"Push notification body asking the player to keep the streak alive. The argument is their own daily goal in minutes. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 39 characters, Dutch 40. Aim for 50 or fewer.";Play for %lld minute and keep it going!;Speel %lld minuut en houd je reeks vast!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.streak.body %lld;plural.other;55;"Push notification body asking the player to keep the streak alive. The argument is their own daily goal in minutes. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 40 characters, Dutch 41. Aim for 55 or fewer.";Play for %lld minutes and keep it going!;Speel %lld minuten en houd je reeks vast!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.weekly.body %lld;plural.one;70;"Push notification body for the weekly recap. The argument is the player's all-time bubble total. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 52 characters, Dutch 55. Aim for 70 or fewer.";You have %lld bubble in total. Ready for a few more?;Je hebt in totaal %lld bubbel. Klaar voor nog een paar?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.weekly.body %lld;plural.other;70;"Push notification body for the weekly recap. The argument is the player's all-time bubble total. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 53 characters, Dutch 56. Aim for 70 or fewer.";You have %lld bubbles in total. Ready for a few more?;Je hebt in totaal %lld bubbels. Klaar voor nog een paar?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.weekly.title %lld;plural.one;30;"Push notification title for the weekly recap. The argument is the bubbles collected this week. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 24 characters, Dutch 24. Aim for 30 or fewer.";%lld bubble this week! 🎉;%lld bubbel deze week! 🎉;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
notif.weekly.title %lld;plural.other;35;"Push notification title for the weekly recap. The argument is the bubbles collected this week. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 25 characters, Dutch 25. Aim for 35 or fewer.";%lld bubbles this week! 🎉;%lld bubbels deze week! 🎉;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
premium.availableAt %lld;plural.one;40;"Status under a character still to be earned. The argument is the bubble total that opens it. PLURAL: this row is the singular form. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.one' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 26 characters, Dutch 29. Aim for 40 or fewer.";Available from %lld bubble;Beschikbaar vanaf %lld bubbel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
premium.availableAt %lld;plural.other;40;"Status under a character still to be earned. The argument is the bubble total that opens it. PLURAL: this row is the general form, used for every count without its own rule. Fill in only the categories your language actually uses, and add a row for any it needs that is not listed (copy the row, change 'plural.other' to e.g. 'plural.few'). Leave the rest empty. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 27 characters, Dutch 30. Aim for 40 or fewer.";Available from %lld bubbles;Beschikbaar vanaf %lld bubbels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
premium.feature.animals.subtitle %lld;;65;"Explains the second Premium selling point. The argument is the total number of animals in the game — always 10, so write the plural form; it is never one. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 51 characters, Dutch 47. Aim for 65 or fewer.";With premium you play freely with all %lld animals.;Met premium speel je vrij met alle %lld dieren.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
premium.feature.levels.title %lld;;35;"First selling point on the Premium screen. The argument is how many levels each topic then holds — always 99, so write the plural form; it is never one. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 21 characters, Dutch 25. Aim for 35 or fewer.";%lld levels per topic;%lld levels per onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
settings.goalInfo %lld;;105;"Footnote under the play goals. The argument is the daily goal a new player starts with, in minutes — always 5, so write the plural form; it is never one. PLACEHOLDERS: keep %lld exactly as written — they are replaced with live values. You may put them anywhere in the sentence; to reorder them use %1$, %2$ and so on. LENGTH: English 76 characters, Dutch 82. Aim for 105 or fewer.";The streak goal starts at %lld minutes per day. Only active playtime counts.;Het streakdoel begint bij %lld minuten per dag. Alleen actieve speeltijd telt mee.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
